github.com/aymerick/douceur,https://github.com/aymerick/douceur/blob/v0.2.0/LICENSE,MIT
github.com/cention-sany/utf7,https://github.com/cention-sany/utf7/blob/26cad61bd60a/LICENSE,BSD-3-Clause
github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash/blob/v2.3.0/LICENSE.txt,MIT
github.com/clipperhouse/displaywidth,https://github.com/clipperhouse/displaywidth/blob/v0.11.0/LICENSE,MIT
github.com/clipperhouse/uax29/v2/graphemes,https://github.com/clipperhouse/uax29/blob/v2.7.0/LICENSE,MIT
github.com/danieljoos/wincred,https://github.com/danieljoos/wincred/blob/v1.2.3/LICENSE,MIT
github.com/dustin/go-humanize,https://github.com/dustin/go-humanize/blob/v1.0.1/LICENSE,MIT
github.com/emersion/go-imap/v2,https://github.com/emersion/go-imap/blob/v2.0.0-beta.8/LICENSE,MIT
github.com/emersion/go-message,https://github.com/emersion/go-message/blob/v0.18.2/LICENSE,MIT
github.com/emersion/go-sasl,https://github.com/emersion/go-sasl/blob/b788ff22d5a6/LICENSE,MIT
github.com/emersion/go-smtp,https://github.com/emersion/go-smtp/blob/v0.25.0/LICENSE,MIT
github.com/fatih/color,https://github.com/fatih/color/blob/v1.19.0/LICENSE.md,MIT
github.com/goccy/go-json,https://github.com/goccy/go-json/blob/v0.10.6/LICENSE,MIT
github.com/gogs/chardet,https://github.com/gogs/chardet/blob/b7413eaefb8f/LICENSE,MIT
github.com/gorilla/css/scanner,https://github.com/gorilla/css/blob/v1.0.1/LICENSE,BSD-3-Clause
github.com/inbucket/html2text,https://github.com/inbucket/html2text/blob/v1.0.0/LICENSE,MIT
github.com/inconshreveable/mousetrap,https://github.com/inconshreveable/mousetrap/blob/v1.1.0/LICENSE,Apache-2.0
github.com/jhillyerd/enmime/v2,https://github.com/jhillyerd/enmime/blob/v2.4.1/LICENSE,MIT
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.14/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.24/LICENSE,MIT
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.23/LICENSE,MIT
github.com/microcosm-cc/bluemonday,https://github.com/microcosm-cc/bluemonday/blob/v1.0.27/LICENSE.md,BSD-3-Clause
github.com/ncruces/go-strftime,https://github.com/ncruces/go-strftime/blob/v1.0.0/LICENSE,MIT
github.com/olekukonko/cat,https://github.com/olekukonko/cat/blob/50322a0618f6/LICENSE,MIT
github.com/olekukonko/errors,https://github.com/olekukonko/errors/blob/v1.3.0/LICENSE,MIT
github.com/olekukonko/ll,https://github.com/olekukonko/ll/blob/v0.1.8/LICENSE,MIT
github.com/olekukonko/tablewriter,https://github.com/olekukonko/tablewriter/blob/v1.1.4/LICENSE.md,MIT
github.com/pelletier/go-toml/v2,https://github.com/pelletier/go-toml/blob/v2.2.4/LICENSE,MIT
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause
github.com/remyoudompheng/bigfft,https://github.com/remyoudompheng/bigfft/blob/24d4a6f8daec/LICENSE,BSD-3-Clause
github.com/santhosh-tekuri/jsonschema/v6,https://github.com/santhosh-tekuri/jsonschema/blob/v6.0.3/LICENSE,Apache-2.0
github.com/situker/qqmail-cli,https://github.com/situker/qqmail-cli/blob/HEAD/LICENSE,Apache-2.0
github.com/spf13/cobra,https://github.com/spf13/cobra/blob/v1.10.2/LICENSE.txt,Apache-2.0
github.com/spf13/pflag,https://github.com/spf13/pflag/blob/v1.0.9/LICENSE,BSD-3-Clause
github.com/ssor/bom,https://github.com/ssor/bom/blob/6386211fdfcf/LICENSE,MIT
github.com/zalando/go-keyring,https://github.com/zalando/go-keyring/blob/v0.2.8/LICENSE,MIT
golang.org/x/net/html,https://cs.opensource.google/go/x/net/+/v0.56.0:LICENSE,BSD-3-Clause
golang.org/x/sys/windows,https://cs.opensource.google/go/x/sys/+/v0.47.0:LICENSE,BSD-3-Clause
golang.org/x/term,https://cs.opensource.google/go/x/term/+/v0.45.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.39.0:LICENSE,BSD-3-Clause
modernc.org/libc,https://gitlab.com/cznic/libc/blob/v1.74.4/LICENSE-3RD-PARTY.md,MIT
modernc.org/mathutil,https://gitlab.com/cznic/mathutil/-/blob/master/LICENSE,BSD-3-Clause
modernc.org/memory,https://gitlab.com/cznic/memory/blob/v1.11.0/LICENSE-GO,BSD-3-Clause
modernc.org/sqlite,https://gitlab.com/cznic/sqlite/blob/v1.57.0/LICENSE,BSD-3-Clause
